"sep=,"
ID,ID2,Title
LPMS-25482,LPMS_254.82,Yuki Katari [Renewal Version]
MAME-99901,MAME_999.01,PS2 MAME Emulator
PAPX-90203,PAPX_902.03,Gran Turismo 2000
PBPX-95201,PBPX_952.01,Utility Disc Version 1.00
PBPX-95202,PBPX_952.02,Utility Disc Version 1.01
PBPX-95206,PBPX_952.06,DVD Player Version 2.01
PBPX-95248,PBPX_952.48,Online Start-up Disc 4.0
PBPX-95299,PBPX_952.99,Mage Racing Construction
PBPX-95503,PBPX_955.03,Gran Turismo 3: A-spec
PBPX-95506,PBPX_955.06,Demo Disc
PBPX-95509,PBPX_955.09,PS2 Linux
PBPX-95517,PBPX_955.17,Network Adaptor Start-Up Disc
PBPX-95520,PBPX_955.20,Demo Disc
PBPX-95522,PBPX_955.22,Kidou Senshi Z Gundam: AEUG vs. Titans
PBPX-95523,PBPX_955.23,Gran Turismo 4 - Prologue
PBPX-95524,PBPX_955.24,Gran Turismo 4 - Prologue
PSXC-00203,PSXC_002.03,PSX Update Disc Ver. 1.31
ROSE-00001,ROSE_000.01,CRIMSON EMPIRE [DELUXE EDITION]
SCAJ-10001,SCAJ_100.01,Makai Senki Disgaea
SCAJ-10003,SCAJ_100.03,Taiko no Tatsujin - Doki! Shinkyoku Darake no Haru Matsuri
SCAJ-10004,SCAJ_100.04,Time Crisis II (Playstation 2 The Best)
SCAJ-10006,SCAJ_100.06,Taiko no Tatsujin - Appare Sandaime
SCAJ-10007,SCAJ_100.07,Taiko no Tatsujin - Waku Waku Anime Matsuri
SCAJ-10008,SCAJ_100.08,Taiko no Tatsujin - Atsumare! Matsuri Da!! Yondaime
SCAJ-10009,SCAJ_100.09,"Psikyo Shooting Collection Vol.1 - Strikers 1945 1&2 "
SCAJ-10010,SCAJ_100.10,Mahjong Party - Play Mahjong with Swimsuit Beauty
SCAJ-10011,SCAJ_100.11,Taiko no Tatsujin - Go! Go! Godaime
SCAJ-10012,SCAJ_100.12,Taiko Drum Master
SCAJ-10013,SCAJ_100.13,Taiko no Tatsujin - Tobikkiri! Anime Special
SCAJ-10014,SCAJ_100.14,Taiko no Tatsujin - Wai Wai Happy Muyome
SCAJ-10015,SCAJ_100.15,Taiko no Tatsujin - Doka! to Oomori Nanadaim
SCAJ-15076,SCAJ_150.76,EyeToy - FuriFuri Dance Tengoku
SCAJ-20001,SCAJ_200.01,Ratchet & Clank
SCAJ-20002,SCAJ_200.02,Gallop Racer 6 - Revolution
SCAJ-20003,SCAJ_200.03,ARGUS NO SENSHI
SCAJ-20004,SCAJ_200.04,.Hack Shinsoku Osen Vol.3
SCAJ-20006,SCAJ_200.06,Gunvarl Collection with Time Crisis
SCAJ-20007,SCAJ_200.07,XI Go
SCAJ-20008,SCAJ_200.08,V-Rally 3
SCAJ-20009,SCAJ_200.09,HERDY GERDY
SCAJ-20010,SCAJ_200.10,BAKUSOU DEKOTORA DENSETSU - OTOKO HANAMICHI YUME ROMAN
SCAJ-20011,SCAJ_200.11,Armored Core 3 - Silent Line
SCAJ-20012,SCAJ_200.12,Venus & Braves
SCAJ-20013,SCAJ_200.13,MOTOGP 3
SCAJ-20014,SCAJ_200.14,Time Splitter
SCAJ-20015,SCAJ_200.15,Shin Megami Tensei  III - Nocturne
SCAJ-20016,SCAJ_200.16,ARGUS NO SENSHI
SCAJ-20017,SCAJ_200.17,KAITOU SLY COOPER
SCAJ-20018,SCAJ_200.18,This is Football 2003
SCAJ-20019,SCAJ_200.19,ARC THE LAD - SEIREI NO TASOGARE
SCAJ-20020,SCAJ_200.20,DRAG-ON-DRAGOON
SCAJ-20021,SCAJ_200.21,METAL SLUG 3
SCAJ-20022,SCAJ_200.22,Dai-2-Ji Super Robot Taisen Alpha (Limited Edition)
SCAJ-20023,SCAJ_200.23,Soul Calibur II
SCAJ-20024,SCAJ_200.24,.Hack Zettai Houi Vol.4
SCAJ-20025,SCAJ_200.25,Grand Prix Challenge
SCAJ-20026,SCAJ_200.26,Generation of Chaos III - Toki no Fuuin
SCAJ-20027,SCAJ_200.27,Tenchu 3
SCAJ-20028,SCAJ_200.28,Tales of Destiny 2
SCAJ-20029,SCAJ_200.29,R - Type Final
SCAJ-20032,SCAJ_200.32,Ka 2 - Let's Go Hawaiian
SCAJ-20033,SCAJ_200.33,Guilty Gear XX Reload - The Midnight Carnival
SCAJ-20034,SCAJ_200.34,Summon Night 3
SCAJ-20035,SCAJ_200.35,DEAD TO RIGHTS
SCAJ-20037,SCAJ_200.37,Monster Farm 4
SCAJ-20038,SCAJ_200.38,ARC THE LAD - SEIREI NO TASOGARE
SCAJ-20039,SCAJ_200.39,Sidewinder V
SCAJ-20040,SCAJ_200.40,The King of Fighters 2001
SCAJ-20041,SCAJ_200.41,ENERGY AIRFORCE AIM STRIKE!
SCAJ-20043,SCAJ_200.43,Chain Drive
SCAJ-20044,SCAJ_200.44,LARA CROFT - TOMB RAIDER - UTSUKUSHIKI TOUBOUSHA
SCAJ-20045,SCAJ_200.45,Shadow Tower - Abyss
SCAJ-20046,SCAJ_200.46,SIREN
SCAJ-20047,SCAJ_200.47,Time Crisis 3
