"sep=,"
ID,ID2,Title
SLES-50850,SLES_508.50,ATV - Quad Power Racing 2
SLES-50852,SLES_508.52,Sven-Goran Eriksson's World Challenge
SLES-50853,SLES_508.53,Marcel DeSaily Pro Football
SLES-50854,SLES_508.54,WM Nationalspieler
SLES-50859,SLES_508.59,Commandos 2: Men of Courage
SLES-50860,SLES_508.60,Commandos 2: Men of Courage
SLES-50861,SLES_508.61,Top Angler
SLES-50862,SLES_508.62,Street Hoops
SLES-50870,SLES_508.70,Mat Hoffman's Pro BMX 2
SLES-50871,SLES_508.71,Mat Hoffman's Pro BMX 2
SLES-50872,SLES_508.72,Mat Hoffman's Pro BMX 2
SLES-50873,SLES_508.73,Reign of Fire
SLES-50874,SLES_508.74,F-1 2002
SLES-50875,SLES_508.75,F-1 2002
SLES-50876,SLES_508.76,Driver 3
SLES-50877,SLES_508.77,TimeSplitters 2
SLES-50879,SLES_508.79,DAKAR 2
SLES-50880,SLES_508.80,BMX XXX
SLES-50882,SLES_508.82,Mary-Kate and Ashley: Sweet 16: Licensed to Drive
SLES-50886,SLES_508.86,Transworld Surf
SLES-50891,SLES_508.91,Legaia 2- Duel Saga
SLES-50892,SLES_508.92,Lethal Skies Elite Pilot - Team SW
SLES-50897,SLES_508.97,Super Trucks
SLES-50898,SLES_508.98,X-MEN - NEXT DIMENSION
SLES-50899,SLES_508.99,X-MEN - NEXT DIMENSION
SLES-50900,SLES_509.00,X-MEN - NEXT DIMENSION
SLES-50902,SLES_509.02,Conflict: Desert Storm
SLES-50903,SLES_509.03,Mega Race 3
SLES-50905,SLES_509.05,Armored Core 2 -Another Age
SLES-50906,SLES_509.06,Master Rally
SLES-50908,SLES_509.08,Monster Jam - Maximum Destruction
SLES-50914,SLES_509.14,International Cue Club
SLES-50919,SLES_509.19,Akira Psycho Ball
SLES-50920,SLES_509.20,King's Field IV
SLES-50921,SLES_509.21,WAY OF THE SAMURAI
SLES-50922,SLES_509.22,The Terminator - Dawn of Fate
SLES-50927,SLES_509.27,Commandos 2: Men of Courage
SLES-50930,SLES_509.30,DINO STALKER
SLES-50933,SLES_509.33,eJay ClubWorld: The Music Making Experience
SLES-50935,SLES_509.35,Circus Maximus: Chariot Wars
SLES-50936,SLES_509.36,ENDGAME
SLES-50937,SLES_509.37,Football Mania
SLES-50939,SLES_509.39,USA Racer
SLES-50946,SLES_509.46,Britney's Dance Beat
SLES-50947,SLES_509.47,Britney's Dance Beat
SLES-50948,SLES_509.48,Britney's Dance Beat
SLES-50953,SLES_509.53,Air Ranger: Rescue Helicopter
SLES-50954,SLES_509.54,Tokyo Road Race
SLES-50955,SLES_509.55,London Racer II
SLES-50958,SLES_509.58,"Warhammer 40,000 – Firewarrior"
SLES-50963,SLES_509.63,Riding Spirits
SLES-50964,SLES_509.64,Antz Extreme Racing
SLES-50965,SLES_509.65,Spider-Man
SLES-50972,SLES_509.72,BARBARIAN
SLES-50974,SLES_509.74,Zapper - One Wicked Cricket!
SLES-50975,SLES_509.75,The Thing
SLES-50976,SLES_509.76,The Thing
SLES-50978,SLES_509.78,ONIMUSHA 2 - SAMURAI'S DESTINY
SLES-50981,SLES_509.81,RC Sports Copter Challenge
SLES-50984,SLES_509.84,Gumball 3000
SLES-50985,SLES_509.85,Gumball 3000'
SLES-50986,SLES_509.86,Twin Caliber
SLES-50987,SLES_509.87,The Scorpion King - Rise of the Akkadian
SLES-50988,SLES_509.88,The Lord of the Rings: The Fellowship of the Ring
SLES-50992,SLES_509.92,Hitman 2: Silent Assassin
SLES-50994,SLES_509.94,Paris-Marseille Racing II
SLES-50995,SLES_509.95,Fireblade
SLES-50997,SLES_509.97,Rally Fusion - Race of Champions
SLES-50998,SLES_509.98,X-treme Express - World Grand Prix
SLES-50999,SLES_509.99,UFC: Throwdown
SLES-51009,SLES_510.09,Autobahn Raser IV
SLES-51011,SLES_510.11,Knight Rider: The Game
SLES-51013,SLES_510.13,Blade II
SLES-51014,SLES_510.14,Blade II
SLES-51017,SLES_510.17,SCOOBY-DOO! - NIGHT OF 100 FRIGHTS
SLES-51018,SLES_510.18,SCOOBY-DOO! - LA NUIT DES 100 FRISSONS
SLES-51019,SLES_510.19,SCOOBY-DOO! - NACHT DER 100 SCHRECKEN
SLES-51022,SLES_510.22,Speed Challenge: Jacques Villeneuve's Racing Vision
SLES-51023,SLES_510.23,LMA Manager 2003
SLES-51024,SLES_510.24,Roger Lemerre - La Selection des Champions 2003
SLES-51025,SLES_510.25,BDFL Manager 2003
SLES-51026,SLES_510.26,Football Manager - Campionato 2003
SLES-51027,SLES_510.27,Manager de Liga 2003
SLES-51038,SLES_510.38,MX Superfly featuring Ricky Carmichael
SLES-51042,SLES_510.42,DISNEY'S GOLF
SLES-51043,SLES_510.43,Spyro - Enter the Dragonfly
SLES-51044,SLES_510.44,Burnout 2 - Point of Impact
SLES-51045,SLES_510.45,Legends of Wrestling II
SLES-51046,SLES_510.46,State of Emergency
SLES-51053,SLES_510.53,Tom and Jerry in War of the Whiskers
SLES-51054,SLES_510.54,Midnight Club 2
SLES-51055,SLES_510.55,Go Go Golf
SLES-51056,SLES_510.56,Fighting Fury
SLES-51057,SLES_510.57,Hard Hitter 2
SLES-51058,SLES_510.58,MAKEN SHAO - DEMON SWORD
SLES-51060,SLES_510.60,Butt-Ugly Martians: Zoom or Doom!
SLES-51061,SLES_510.61,GRAND THEFT AUTO - VICE CITY
SLES-51063,SLES_510.63,Hot Wheels - Velocity X - Maximum Justice
SLES-51064,SLES_510.64,Gladius
SLES-51065,SLES_510.65,Gladius
SLES-51066,SLES_510.66,Gladius
SLES-51069,SLES_510.69,RTX - Red Rock
SLES-51070,SLES_510.70,RTX - Red Rock
SLES-51071,SLES_510.71,RTX - Red Rock
SLES-51072,SLES_510.72,RTX - Red Rock
SLES-51073,SLES_510.73,RTX - Red Rock
SLES-51076,SLES_510.76,CLUB FOOTBALL - LIVERPOOL FC
SLES-51077,SLES_510.77,CLUB FOOTBALL - REAL MADRID
SLES-51078,SLES_510.78,CLUB FOOTBALL - FC BARCELONA
SLES-51079,SLES_510.79,CLUB FOOTBALL - AJAX AMSTERDAM
SLES-51080,SLES_510.80,CLUB FOOTBALL - AC MILAN
SLES-51081,SLES_510.81,CLUB FOOTBALL - JUVENTUS
SLES-51082,SLES_510.82,CLUB FOOTBALL - HAMBURGER SV
SLES-51083,SLES_510.83,CLUB FOOTBALL - BORUSSIA DORTMUND
SLES-51084,SLES_510.84,CLUB FOOTBALL - FC BAYERN MUNCHEN
SLES-51085,SLES_510.85,CLUB FOOTBALL - ASTON VILLA
SLES-51086,SLES_510.86,CLUB FOOTBALL - CHELSEA
SLES-51087,SLES_510.87,Club Football: Leeds United
SLES-51088,SLES_510.88,CLUB FOOTBALL - RANGERS
SLES-51089,SLES_510.89,CLUB FOOTBALL - ARSENAL
SLES-51090,SLES_510.90,CLUB FOOTBALL - MANCHESTER UNITED
SLES-51093,SLES_510.93,Largo Winch - Empire Under Threat
SLES-51094,SLES_510.94,CLUB FOOTBALL - FC INTERNAZIONALE
SLES-51095,SLES_510.95,DINO STALKER
SLES-51096,SLES_510.96,DINO STALKER
SLES-51100,SLES_511.00,Club Football: Liverpool FC
SLES-51101,SLES_511.01,Eggo Mania
SLES-51107,SLES_511.07,Hitman 2: Silent Assassin
SLES-51108,SLES_511.08,Hitman 2: Silent Assassin
SLES-51109,SLES_511.09,Hitman 2: Silent Assassin
SLES-51110,SLES_511.10,Hitman 2: Silent Assassin
SLES-51113,SLES_511.13,Zone of the Enders - The 2nd Runner
SLES-51114,SLES_511.14,Pro Evolution Soccer 2
SLES-51117,SLES_511.17,Colin McRae Rally 3
SLES-51118,SLES_511.18,Wizardry - Tales of the Forsaken Land
SLES-51124,SLES_511.24,Turok Evolution
SLES-51125,SLES_511.25,Sega Soccer Slam
SLES-51126,SLES_511.26,Whirl Tour
SLES-51128,SLES_511.28,Total Inmersion Racing
SLES-51130,SLES_511.30,Tony Hawk's Pro Skater 4
SLES-51131,SLES_511.31,Tony Hawk's Pro Skater 4
SLES-51132,SLES_511.32,Tony Hawk's Pro Skater 4
SLES-51133,SLES_511.33,Red Faction 2
SLES-51134,SLES_511.34,The Powerpuff Girls: Relish Rampage
SLES-51141,SLES_511.41,Summoner 2
SLES-51142,SLES_511.42,Summoner 2
SLES-51143,SLES_511.43,Summoner 2
SLES-51144,SLES_511.44,Shox - Rally Reinvented
SLES-51145,SLES_511.45,Monopoly Party
SLES-51150,SLES_511.50,Scrabble Interactive
SLES-51151,SLES_511.51,NHL 2003
SLES-51153,SLES_511.53,LEGO Island Xtreme Stunts
SLES-51154,SLES_511.54,Madden NFL 2003
SLES-51156,SLES_511.56,Silent Hill 2 - Director's Cut
SLES-51157,SLES_511.57,Silent Scope 3
SLES-51160,SLES_511.60,Sub Rebellion
SLES-51162,SLES_511.62,Metropolismania
SLES-51168,SLES_511.68,AFL Live 2003
SLES-51174,SLES_511.74,Marvel vs. Capcom 2: New Age of Heroes
SLES-51180,SLES_511.80,Tom Clancy's The Sum of all Fears
SLES-51181,SLES_511.81,Tom Clancy's Ghost Recon
SLES-51182,SLES_511.82,TOM CLANCY'S GHOST RECON
SLES-51188,SLES_511.88,Rocket Power - Beach Bandits
SLES-51189,SLES_511.89,MTV's Celebrity Deathmatch
SLES-51191,SLES_511.91,AUTO MODELLISTA
SLES-51192,SLES_511.92,Harry Potter and the Chamber of Secrets
SLES-51193,SLES_511.93,Harry Potter et la Chambre des Secrets
SLES-51194,SLES_511.94,Harry Potter und die Kammer des Schreckens
SLES-51195,SLES_511.95,Harry Potter y la Camara Secreta
SLES-51196,SLES_511.96,Harry Potter e la Camera dei Segreti
SLES-51197,SLES_511.97,FIFA Football 2003
SLES-51198,SLES_511.98,NBA Live 2003
SLES-51199,SLES_511.99,4x4 Evo 2
SLES-51200,SLES_512.00,Kelly Slater's Pro Surfer
SLES-51201,SLES_512.01,Kelly Slater's Pro Surfer
SLES-51202,SLES_512.02,Wreckless - The Yakuza Missions
SLES-51203,SLES_512.03,Enter the Matrix
SLES-51208,SLES_512.08,Rocky
SLES-51209,SLES_512.09,HAVEN - CALL OF THE KING
SLES-51217,SLES_512.17,Harry Potter och hemligheternas kammare
SLES-51218,SLES_512.18,Harry Potter en de Geheime Kamer
SLES-51219,SLES_512.19,Harry Potter and The Chamber of Secrets
SLES-51220,SLES_512.20,TY - THE TAZMANIAN TIGER
SLES-51222,SLES_512.22,Rayman 3 - Hoodlum Havoc
SLES-51223,SLES_512.23,Runabout 3 - Neo Age
SLES-51224,SLES_512.24,War of the Monsters
SLES-51226,SLES_512.26,Twin Caliber
SLES-51227,SLES_512.27,Lara Croft Tomb Raider: The Angel of Darkness
SLES-51229,SLES_512.29,VIRTUA COP - ELITE EDITION
SLES-51230,SLES_512.30,Minority Report
SLES-51232,SLES_512.32,Virtua Tennis 2
SLES-51233,SLES_512.33,DRAGON BALL Z - BUDOKAI
SLES-51235,SLES_512.35,Raging Blades
SLES-51236,SLES_512.36,Gungrave
SLES-51244,SLES_512.44,XIII
SLES-51247,SLES_512.47,Inspector Gadget - Mad Robots Invasion
SLES-51249,SLES_512.49,Castleween
SLES-51250,SLES_512.50,Shox: Rally Reinvented
SLES-51251,SLES_512.51,Shox - Rally Reinvented
SLES-51252,SLES_512.52,The Lord of the Rings: The Two Towers
SLES-51253,SLES_512.53,LE SEIGNEUR DES ANNEAUX - LES DEUX TOURS
SLES-51254,SLES_512.54,Der Herr der Ringe: Die zwei Türme
SLES-51255,SLES_512.55,IL SIGNORE DEGLI ANELLI - LE DUE TORRI
SLES-51256,SLES_512.56,El Señor de los Anillos: Las Dos Torres
SLES-51257,SLES_512.57,The Sims
SLES-51258,SLES_512.58,007: Nightfire
SLES-51260,SLES_512.60,007 - Nightfire
SLES-51265,SLES_512.65,Dynasty Tactics
SLES-51266,SLES_512.66,Dynasty Tactics
SLES-51267,SLES_512.67,Dynasty Tactics
SLES-51271,SLES_512.71,Mobile Suit Gundam - Federation vs. Zeon
SLES-51272,SLES_512.72,Wakeboarding Unleashed featuring Shaun Murray
SLES-51273,SLES_512.73,Wakeboarding Unleashed featuring Shaun Murray
SLES-51275,SLES_512.75,Summoner 2
SLES-51282,SLES_512.82,Tiger Woods PGA Tour 2003
SLES-51283,SLES_512.83,WWE SmackDown! - Shut Your Mouth
SLES-51284,SLES_512.84,CONTRA - SHATTERED SOLDIER
SLES-51285,SLES_512.85,Nickelodeon SpongeBob SquarePants: Revenge of the Flying Dutchman
SLES-51286,SLES_512.86,X-Men 2 - Wolverine's Revenge
SLES-51287,SLES_512.87,X-Men 2: La Vengeance de Wolverine
SLES-51289,SLES_512.89,Gunfighter 2 - Legend of Jesse James
SLES-51290,SLES_512.90,Sword of the Samurai
SLES-51292,SLES_512.92,Savage Skies
SLES-51296,SLES_512.96,Grand Prix Challenge
SLES-51298,SLES_512.98,Jimmy Neutron - Boy Genius
SLES-51300,SLES_513.00,Jimmy Neutron - Der mutige Erfinder
SLES-51301,SLES_513.01,SOS - THE FINAL ESCAPE
SLES-51302,SLES_513.02,Bomberman Kart
SLES-51303,SLES_513.03,Drome Racers
SLES-51307,SLES_513.07,Wild Arms 3
SLES-51308,SLES_513.08,Reel Fishing 3
SLES-51311,SLES_513.11,RUGRATS - ROYAL RAMSON
SLES-51312,SLES_513.12,Rugrats: Royal Ransom
SLES-51313,SLES_513.13,Activision Anthology
SLES-51315,SLES_513.15,The Great Escape
SLES-51316,SLES_513.16,GRAND THEFT AUTO - VICE CITY
SLES-51317,SLES_513.17,Minority Report
SLES-51318,SLES_513.18,Minority Report
SLES-51322,SLES_513.22,Robotech: Battlecry
SLES-51333,SLES_513.33,James Cameron’s Dark Angel
SLES-51339,SLES_513.39,NFL 2K3
SLES-51340,SLES_513.40,NBA 2K3
SLES-51341,SLES_513.41,NHL 2K3
SLES-51343,SLES_513.43,Galerians: Ash
SLES-51344,SLES_513.44,Guilty Gear X2
SLES-51345,SLES_513.45,Run Like Hell
SLES-51347,SLES_513.47,DIE HARD - VENDETTA
SLES-51348,SLES_513.48,DIE HARD - VENDETTA
SLES-51349,SLES_513.49,Evolution Skateboarding
SLES-51350,SLES_513.50,Ben Hur: Blood of Braves
SLES-51354,SLES_513.54,Jurassic Park - Operation Genesis
SLES-51355,SLES_513.55,Big Mutha Truckers
SLES-51356,SLES_513.56,Road Trip Adventure
SLES-51357,SLES_513.57,G1 Jockey 3
SLES-51358,SLES_513.58,MYSTIC HEROES
SLES-51360,SLES_513.60,The Simpsons - Skateboarding
SLES-51361,SLES_513.61,The Simpsons - Skateboarding
SLES-51362,SLES_513.62,The Simpsons - Skateboarding
SLES-51363,SLES_513.63,Music 3000
SLES-51365,SLES_513.65,BMX XXX
SLES-51371,SLES_513.71,Pride FC: Fighting Championships
SLES-51372,SLES_513.72,Wallace & Gromit in Project Zoo
SLES-51374,SLES_513.74,Robocop
SLES-51377,SLES_513.77,Taxi 3
SLES-51381,SLES_513.81,Everblue 2
SLES-51382,SLES_513.82,DreamWorks' Shrek Superparty
SLES-51383,SLES_513.83,Beach King Stunt Racer
SLES-51385,SLES_513.85,RUGRATS - RESCATE REAL
SLES-51387,SLES_513.87,World Racing
SLES-51388,SLES_513.88,Sega Bass Fishing Duel
SLES-51390,SLES_513.90,Fightbox
SLES-51391,SLES_513.91,RTL Skijumping 2003
SLES-51392,SLES_513.92,Evolution Snowboarding
SLES-51393,SLES_513.93,Syberia
SLES-51397,SLES_513.97,IndyCar Series
SLES-51398,SLES_513.98,World Championship Snooker 2003
SLES-51399,SLES_513.99,Armored Core 3
SLES-51400,SLES_514.00,Tenchu: La Ira del Cielo
SLES-51401,SLES_514.01,Tenchu - Wrath of Heaven
SLES-51402,SLES_514.02,Tenchu - Wrath of Heaven
SLES-51403,SLES_514.03,Tenchu - La Colère Divine
SLES-51409,SLES_514.09,Frogger - Beyond
SLES-51418,SLES_514.18,Fisherman's Challenge
SLES-51423,SLES_514.23,CLUB FOOTBALL - CELTIC
SLES-51433,SLES_514.33,Ghost Vibration
SLES-51434,SLES_514.34,Silent Hill 3
SLES-51435,SLES_514.35,International Superstar Soccer 3
SLES-51436,SLES_514.36,Chessmaster 9000
SLES-51439,SLES_514.39,Mortal Kombat – Deadly Alliance
SLES-51441,SLES_514.41,Dynasty Warriors 3: Xtreme Legends
SLES-51442,SLES_514.42,Dynasty Warriors 3: Xtreme Legends
SLES-51443,SLES_514.43,Dynasty Warriors 3 - Xtreme Legnds
SLES-51445,SLES_514.45,RYGAR - THE LEGENDARY ADVENTURE
SLES-51448,SLES_514.48,RESIDENT EVIL - DEAD AIM
SLES-51449,SLES_514.49,Return to Castle Wolfenstein: Operation Resurrection
SLES-51450,SLES_514.50,Return to Castle Wolfenstein: Opération Résurrection
SLES-51451,SLES_514.51,Whiteout
SLES-51456,SLES_514.56,LMA Manager 2004
SLES-51458,SLES_514.58,BDFL Manager 2004
SLES-51459,SLES_514.59,Roger Lemerre - La Selection des Champions 2004
SLES-51460,SLES_514.60,Football Manager - Campionato 2004
SLES-51461,SLES_514.61,Manager de Liga 2004
SLES-51462,SLES_514.62,DreamWorks' Shrek Superparty
SLES-51466,SLES_514.66,TOM CLANCY'S SPLINTER CELL
SLES-51467,SLES_514.67,FREEDOM FIGHTERS
SLES-51468,SLES_514.68,FREEDOM FIGHTERS
SLES-51469,SLES_514.69,FREEDOM FIGHTERS
SLES-51470,SLES_514.70,FREEDOM FIGHTERS
SLES-51471,SLES_514.71,FREEDOM FIGHTERS
SLES-51473,SLES_514.73,Kya - Dark Lineage
SLES-51474,SLES_514.74,BloodRayne
SLES-51476,SLES_514.76,MYSTIC HEROES
SLES-51477,SLES_514.77,MYSTIC HEROES
SLES-51479,SLES_514.79,DEF JAM VENDETTA
SLES-51481,SLES_514.81,NBA Street Vol. 2
SLES-51482,SLES_514.82,Downtown Run
SLES-51488,SLES_514.88,Le Tour de France - Centenary Edition
SLES-51492,SLES_514.92,Pro Beach Soccer
SLES-51493,SLES_514.93,Mr Golf
SLES-51495,SLES_514.95,SX Superstar
SLES-51496,SLES_514.96,Breath of Fire: Dragon Quarter
SLES-51503,SLES_515.03,Ace Lightning
SLES-51504,SLES_515.04,Chessmaster
SLES-51507,SLES_515.07,Futurama
SLES-51508,SLES_515.08,The Hulk
SLES-51509,SLES_515.09,World of Outlaws: Sprint Cars
SLES-51510,SLES_515.10,Dance Stage Megamix
SLES-51511,SLES_515.11,Crash Nitro Kart
SLES-51522,SLES_515.22,Return to Castle Wolfenstein: Operation Resurrection
SLES-51523,SLES_515.23,Conflict: Desert Storm II
SLES-51525,SLES_515.25,Fallout: Brotherhood of Steel
SLES-51526,SLES_515.26,Fallout: Brotherhood of Steel
SLES-51545,SLES_515.45,Cel Damage Overdrive
SLES-51547,SLES_515.47,Roland Garros French Open 2003
SLES-51548,SLES_515.48,X-Men 2: Wolverine's Revenge
SLES-51553,SLES_515.53,CHAOS LEGION
SLES-51554,SLES_515.54,Cell Damage Overdrive
SLES-51555,SLES_515.55,Play It Pinball
SLES-51557,SLES_515.57,Broken Sword: The Sleeping Dragon
SLES-51579,SLES_515.79,Yu-Gi-Oh! - The Duelists of the Roses
SLES-51580,SLES_515.80,London Racer: World Challenge
SLES-51581,SLES_515.81,DEAD TO RIGHTS
SLES-51584,SLES_515.84,F1 Career Challenge
SLES-51588,SLES_515.88,Evil Dead: A Fistful of Boomstick
SLES-51589,SLES_515.89,Resident Evil - Outbreak
SLES-51590,SLES_515.90,Cabela's Big Game Hunter
SLES-51594,SLES_515.94,Disney's Piglet's Big Game
SLES-51595,SLES_515.95,GRAND THEFT AUTO - VICE CITY
SLES-51600,SLES_516.00,WWE Crush Hour
SLES-51602,SLES_516.02,All-Star Baseball 2004
SLES-51603,SLES_516.03,Seek & Destroy
SLES-51605,SLES_516.05,Motorsiege - Warriors of Prime Time
SLES-51606,SLES_516.06,Unlimited Saga
SLES-51615,SLES_516.15,The King of Route 66
SLES-51616,SLES_516.16,Virtua Fighter 4: Evolution
SLES-51617,SLES_516.17,STARSKY & HUTCH
SLES-51618,SLES_516.18,Starsky & Hutch
SLES-51619,SLES_516.19,CLOCK TOWER 3
SLES-51620,SLES_516.20,Black and Bruised
SLES-51621,SLES_516.21,Dirt Track Devils
SLES-51622,SLES_516.22,Maxed Out Racing
SLES-51623,SLES_516.23,The Sniper 2
SLES-51624,SLES_516.24,Eternal Quest
SLES-51625,SLES_516.25,Ultimate Mindgames
SLES-51629,SLES_516.29,International Pool Championship
SLES-51630,SLES_516.30,CHESS CHALLENGER
SLES-51633,SLES_516.33,Racing Simulation 3
SLES-51636,SLES_516.36,XGRA: Extreme G Racing Association
SLES-51646,SLES_516.46,Energy Airforce
SLES-51649,SLES_516.49,Judge Dredd - Dredd vs. Death
SLES-51650,SLES_516.50,Judge Dredd - Dredd vs. Death
SLES-51653,SLES_516.53,Mace Griffin - Bounty Hunter
SLES-51654,SLES_516.54,Mace Griffin Bounty Hunter
SLES-51658,SLES_516.58,DISNEY'S FERKELS GROSSES ABENTEUER-SPIEL
SLES-51659,SLES_516.59,DISNEY'S LES AVENTURES DE PORCINET
SLES-51660,SLES_516.60,Risk - Global Domination
SLES-51661,SLES_516.61,Dynasty Warriors 4
SLES-51662,SLES_516.62,Dynasty Warriors 4
SLES-51663,SLES_516.63,Dynasty Warriors 4
SLES-51664,SLES_516.64,Dynasty Warriors 4
SLES-51665,SLES_516.65,Dynasty Warriors 4
SLES-51666,SLES_516.66,DISNEY'S PIGLET - EL GRAN JUEGO
SLES-51667,SLES_516.67,"Disney's Pimpi, Piccolo Grande Eroe"
SLES-51668,SLES_516.68,Disney's Knorretje Kleine Grote Held
SLES-51670,SLES_516.70,Alter Echo
SLES-51671,SLES_516.71,Alter Echo
SLES-51675,SLES_516.75,Psyvariar: Complete Edition
SLES-51678,SLES_516.78,Super Farm
SLES-51680,SLES_516.80,Splashdown 2 - Rides Gone Wild
SLES-51681,SLES_516.81,Splashdown 2 - Rides Gone Wild
SLES-51682,SLES_516.82,Headhunter Redemption
SLES-51686,SLES_516.86,Pitfall: The Lost Expedition
SLES-51687,SLES_516.87,Pitfall - L'Expédition Perdue
SLES-51688,SLES_516.88,Pitfall: The Lost Expedition
SLES-51689,SLES_516.89,Pitfall: The Lost Expedition
SLES-51690,SLES_516.90,Pitfall - The Lost Expedition
SLES-51693,SLES_516.93,THE SUFFERING
SLES-51696,SLES_516.96,DRAGON'S LAIR 3D - SPECIAL EDITION
SLES-51697,SLES_516.97,SSX 3
SLES-51698,SLES_516.98,Mobil Light Force 2
SLES-51699,SLES_516.99,Virtua Fighter: 10th Anniversary Edition
SLES-51702,SLES_517.02,BATTLESTAR GALACTICA
SLES-51704,SLES_517.04,XII Stag
SLES-51705,SLES_517.05,FORD RACING 2
SLES-51707,SLES_517.07,Secret Weapons Over Normandy
SLES-51708,SLES_517.08,Secret Weapons Over Normandy
SLES-51709,SLES_517.09,Secret Weapons Over Normandy
SLES-51710,SLES_517.10,Secret Weapons Over Normandy
SLES-51711,SLES_517.11,Secret Weapons Over Normandy
SLES-51712,SLES_517.12,Snowboard Racer 2
SLES-51713,SLES_517.13,BUST-A-BLOC
SLES-51714,SLES_517.14,BCV - Battle Construction Vehicles
SLES-51715,SLES_517.15,The Seed - Warzone
SLES-51716,SLES_517.16,A TRAIN 6
SLES-51717,SLES_517.17,Boxing Champions
SLES-51718,SLES_517.18,League Series Baseball 2
SLES-51720,SLES_517.20,Disney's Extreme Skate Adventure
SLES-51721,SLES_517.21,Disney's Extreme Skate Adventure
SLES-51723,SLES_517.23,The Hobbit: The Prelude to the Lord of the Rings
SLES-51732,SLES_517.32,EA Sports Rugby 2004
SLES-51733,SLES_517.33,EA Sports Rugby 2004
SLES-51735,SLES_517.35,Perfect Ace - Pro Tournament Tennis
SLES-51741,SLES_517.41,1945 I & II - The Arcade Games
SLES-51746,SLES_517.46,Space Invaders - Invasion Day
SLES-51749,SLES_517.49,Mark Davis Pro Bass Challenge
SLES-51750,SLES_517.50,Charlie's Angels
SLES-51752,SLES_517.52,Tony Hawk's Underground
SLES-51753,SLES_517.53,True Crime: Streets of LA
SLES-51754,SLES_517.54,True Crime: Streets of LA
SLES-51755,SLES_517.55,Disney/Pixar's Finding Nemo
SLES-51756,SLES_517.56,Batman - The Rise of Sin Tsu
SLES-51757,SLES_517.57,Dance Stage Fever
SLES-51758,SLES_517.58,Metal Arms - Glitch in the System
SLES-51759,SLES_517.59,Maximo vs Army of Zin
SLES-51761,SLES_517.61,The Italian Job
SLES-51765,SLES_517.65,Volleyball Xciting
SLES-51766,SLES_517.66,Gladiator Sword of Vengeance
SLES-51772,SLES_517.72,Bad Boys II
SLES-51778,SLES_517.78,Summer Heat Beach Volleyball
SLES-51782,SLES_517.82,Fire Warrior
SLES-51783,SLES_517.83,STARSKY & HUTCH
SLES-51785,SLES_517.85,Cool Shot
SLES-51787,SLES_517.87,Harry Potter: Quidditch World Cup
SLES-51792,SLES_517.92,Aliens vs. Predator – Extinction
SLES-51794,SLES_517.94,Looney Toons - Back in Action
SLES-51797,SLES_517.97,Madden NFL 2004
SLES-51798,SLES_517.98,NHL 2004
SLES-51799,SLES_517.99,Soul Calibur II
SLES-51800,SLES_518.00,Smash Cars
SLES-51806,SLES_518.06,Evil Dead: A Fistful of Boomstick
SLES-51812,SLES_518.12,Homerun
SLES-51813,SLES_518.13,EUROPEAN TENNIS PRO
SLES-51814,SLES_518.14,ATV Offroad Fury 2
SLES-51815,SLES_518.15,FINAL FANTASY X-2
SLES-51816,SLES_518.16,Final Fantasy X-2
SLES-51817,SLES_518.17,FINAL FANTASY X-2
SLES-51818,SLES_518.18,FINAL FANTASY X-2
SLES-51819,SLES_518.19,Final Fantasy X-2
SLES-51820,SLES_518.20,Sniper Elite
SLES-51821,SLES_518.21,ALIAS
SLES-51822,SLES_518.22,ALIAS
SLES-51823,SLES_518.23,Hunter: The Reckoning: Wayward
SLES-51824,SLES_518.24,COLIN MCRAE RALLY 04
SLES-51825,SLES_518.25,Pop Idol
SLES-51826,SLES_518.26,AFL Live 2004
SLES-51828,SLES_518.28,Gladiator: Schwert der Rache
SLES-51831,SLES_518.31,Sphinx and the Cursed Mummy
SLES-51833,SLES_518.33,Premier Manager 2003/2004
SLES-51834,SLES_518.34,Premier Manager 2003/2004
SLES-51838,SLES_518.38,ASTERIX & OBELIX XXL
SLES-51839,SLES_518.39,Dragon Ball Z - Budokai 2
SLES-51840,SLES_518.40,NHL Hitz Pro
SLES-51841,SLES_518.41,SpyHunter 2
SLES-51842,SLES_518.42,RoadKill
SLES-51843,SLES_518.43,Worms 3D
SLES-51845,SLES_518.45,Barbie Horse Adventure : Wild Horse Rescue
SLES-51846,SLES_518.46,Deutschland sucht den Superstar
SLES-51848,SLES_518.48,Tony Hawk's Underground
SLES-51850,SLES_518.50,Basketball Xciting
SLES-51851,SLES_518.51,Tony Hawk's Underground
SLES-51852,SLES_518.52,Tony Hawk's Underground
SLES-51853,SLES_518.53,Tony Hawk's Underground
SLES-51854,SLES_518.54,Tony Hawk's Underground
SLES-51855,SLES_518.55,Tank Elite
SLES-51856,SLES_518.56,Monster Attack
SLES-51859,SLES_518.59,Billiards Xciting
SLES-51860,SLES_518.60,Tennis Court Smash
SLES-51861,SLES_518.61,Bowling Xciting
SLES-51862,SLES_518.62,Bass Master Fishing
SLES-51863,SLES_518.63,Maze Action
SLES-51864,SLES_518.64,Police Chase Down
SLES-51865,SLES_518.65,Heartbeat Boxing
SLES-51867,SLES_518.67,Dynasty Tactics 2
SLES-51868,SLES_518.68,Dynasty Tactics 2
SLES-51869,SLES_518.69,Dynasty Tactics 2
SLES-51870,SLES_518.70,Disney/Pixar Finding Nemo
